date,week,location_id,name,location_resolution,state_of_emergency,shelter_in_place,days_since_1st_case,date_of_1st_case,collapsed_measure
2020-01-04,0,37,North Carolina,state,2020-03-10,2020-03-30,-59,2020-03-03,0.815882278465792
2020-01-04,0,02,Alaska,state,2020-03-11,2020-03-28,-68,2020-03-12,0.9931024868066407
2020-01-04,0,04,Arizona,state,2020-03-11,2020-03-31,-22,2020-01-26,1.009103681436065
2020-01-04,0,05,Arkansas,state,2020-03-11,,-67,2020-03-11,0.8824626187916724
2020-01-04,0,08,Colorado,state,2020-03-11,2020-03-26,-61,2020-03-05,1.036131362227494
2020-01-04,0,11,District of Columbia,state,2020-03-11,2020-04-01,-63,2020-03-07,0.7453673762102716
2020-01-04,0,22,Louisiana,state,2020-03-11,2020-03-23,-65,2020-03-09,0.7646989958554894
2020-01-04,0,35,New Mexico,state,2020-03-11,2020-03-24,-67,2020-03-11,0.9519442432935413
2020-01-04,0,20,Kansas,state,2020-03-12,2020-03-30,-63,2020-03-07,0.9692590187702524
2020-01-04,0,30,Montana,state,2020-03-12,2020-03-28,-69,2020-03-13,0.8931683942835019
2020-01-04,0,32,Nevada,state,2020-03-12,2020-03-31,-61,2020-03-05,0.9302939388520272
2020-01-04,0,47,Tennessee,state,2020-03-12,2020-04-02,-61,2020-03-05,0.8773185047545123
2020-01-04,0,51,Virginia,state,2020-03-12,2020-03-30,-63,2020-03-07,0.888116755921978
2020-01-04,0,55,Wisconsin,state,2020-03-12,2020-03-25,-32,2020-02-05,0.8659494896166594
2020-01-04,0,01,Alabama,state,2020-03-13,2020-04-04,-69,2020-03-13,0.7958651877416155
2020-01-04,0,10,Delaware,state,2020-03-13,2020-03-24,-67,2020-03-11,0.80286693888775
2020-01-04,0,16,Idaho,state,2020-03-13,2020-03-25,-69,2020-03-13,0.8699862753551924
2020-01-04,0,27,Minnesota,state,2020-03-13,2020-03-27,-62,2020-03-06,0.9246927016547786
2020-01-04,0,29,Missouri,state,2020-03-13,2020-04-06,-63,2020-03-07,0.8097549731764104
2020-01-04,0,31,Nebraska,state,2020-03-13,,-44,2020-02-17,0.7202891360238036
2020-01-04,0,33,New Hampshire,state,2020-03-13,2020-03-27,-58,2020-03-02,0.8100992162327928
2020-01-04,0,38,North Dakota,state,2020-03-13,,-67,2020-03-11,0.9183338937277646
2020-01-04,0,45,South Carolina,state,2020-03-13,2020-04-07,-62,2020-03-06,0.9189209735903704
2020-01-04,0,46,South Dakota,state,2020-03-13,,-66,2020-03-10,0.7783298902081349
2020-01-04,0,50,Vermont,state,2020-03-13,2020-03-25,-63,2020-03-07,0.9830704430863522
2020-01-04,0,56,Wyoming,state,2020-03-13,,-67,2020-03-11,1.0337457462975375
2020-01-04,0,13,Georgia,state,2020-03-14,2020-04-03,-58,2020-03-02,0.8016537268731666
2020-01-04,0,28,Mississippi,state,2020-03-14,2020-03-31,-67,2020-03-11,0.7935425551902696
2020-01-04,0,23,Maine,state,2020-03-15,2020-04-02,-68,2020-03-12,0.723667025151125
2020-01-04,0,40,Oklahoma,state,2020-03-15,,-62,2020-03-06,0.9088310737149793
2020-01-04,0,54,West Virginia,state,2020-03-16,2020-03-24,-73,2020-03-17,0.926132079311213
2020-01-04,0,19,Iowa,state,2020-03-17,,-64,2020-03-08,0.6555871263029255
2020-01-04,0,48,Texas,state,2020-03-19,2020-04-02,-39,2020-02-12,0.9202293417306872
2020-01-05,0,53,Washington,state,2020-02-29,2020-03-23,-16,2020-01-21,0.8696518711521698
2020-01-05,0,06,California,state,2020-03-04,2020-03-19,-20,2020-01-25,1.0538973477283777
2020-01-05,0,15,Hawaii,state,2020-03-04,2020-03-25,-61,2020-03-06,1.5452710529761573
2020-01-05,0,24,Maryland,state,2020-03-05,2020-03-30,-60,2020-03-05,0.8309808351188909
2020-01-05,0,18,Indiana,state,2020-03-06,2020-03-24,-61,2020-03-06,0.8267613341013837
2020-01-05,0,21,Kentucky,state,2020-03-06,2020-03-26,-61,2020-03-06,1.0631657817587612
2020-01-05,0,42,Pennsylvania,state,2020-03-06,2020-04-01,-61,2020-03-06,0.9509343272536097
2020-01-05,0,49,Utah,state,2020-03-06,,-51,2020-02-25,0.9920180948436371
2020-01-05,0,36,New York,state,2020-03-07,2020-03-22,-56,2020-03-01,0.9550459288407054
2020-01-05,0,41,Oregon,state,2020-03-08,2020-03-23,-54,2020-02-28,0.8739737487115682
2020-01-05,0,12,Florida,state,2020-03-09,2020-04-03,-56,2020-03-01,0.9314531218521594
2020-01-05,0,17,Illinois,state,2020-03-09,2020-03-21,-19,2020-01-24,0.953609999209268
2020-01-05,0,34,New Jersey,state,2020-03-09,2020-03-21,-59,2020-03-04,0.824209444922876
2020-01-05,0,39,Ohio,state,2020-03-09,2020-03-24,-64,2020-03-09,0.7904845950184366
2020-01-05,0,44,Rhode Island,state,2020-03-09,2020-03-28,-56,2020-03-01,0.7551687216888006
2020-01-05,0,09,Connecticut,state,2020-03-10,2020-03-23,-63,2020-03-08,0.8415784921335904
2020-01-05,0,25,Massachusetts,state,2020-03-10,2020-03-24,-27,2020-02-01,0.926531745913768
2020-01-05,0,26,Michigan,state,2020-03-10,2020-03-24,-65,2020-03-10,0.8759027032995558
2020-01-05,0,37,North Carolina,state,2020-03-10,2020-03-30,-58,2020-03-03,0.963676430373479
2020-01-05,0,02,Alaska,state,2020-03-11,2020-03-28,-67,2020-03-12,1.0616851508055432
2020-01-05,0,04,Arizona,state,2020-03-11,2020-03-31,-21,2020-01-26,0.9684512200729337
2020-01-05,0,05,Arkansas,state,2020-03-11,,-66,2020-03-11,0.9413372556729932
2020-01-05,0,08,Colorado,state,2020-03-11,2020-03-26,-60,2020-03-05,1.188274178239288
